wavelength,reflectance
520.671,17.32
521.018,17.43
521.366,18.74
521.713,16.91
522.061,18.03
522.408,16.86
522.756,17.33
523.103,18.93
523.45,18.64
523.798,18.69
524.145,17.76
524.492,17.59
524.839,18.37
525.186,18.82
525.533,17.47
525.88,17.17
526.227,19.29
526.574,18.18
526.921,16.62
527.268,17.7
527.615,18.85
527.961,18.27
528.308,18.47
528.655,17.86
529.001,16.71
529.348,18.01
529.694,17.91
530.041,17.22
530.387,17.35
530.734,17.4
531.08,16.11
531.426,17.32
531.773,15.64
532.119,17.05
532.465,17.71
532.811,16.59
533.157,17.1
533.503,15.33
533.849,16.59
534.195,16.65
534.541,17.68
534.887,17.41
535.233,17.14
535.579,16.15
535.924,16.19
536.27,17.5
536.616,19.03
536.961,15.7
537.307,17
537.652,17.58
537.998,18.24
538.343,16.4
538.689,17.75
539.034,16.65
539.379,16.77
539.725,16.62
540.07,15.56
540.415,16.57
540.76,16.08
541.105,16.26
541.45,15.36
541.795,17.42
542.14,15.7
542.485,16.57
542.83,15.99
543.175,17.01
543.519,14.7
543.864,18.28
544.209,15.07
544.554,14.85
544.898,15.33
545.243,16.27
545.587,16.11
545.932,15.88
546.276,16.38
546.621,17.14
546.965,15.44
547.309,15.88
547.653,15.72
547.998,16.04
548.342,14.46
548.686,16.62
549.03,15.69
549.374,15.15
549.718,15.46
550.062,16.36
550.406,15.91
550.75,15.8
551.094,15.68
551.437,16.1
551.781,15.08
552.125,14.96
552.468,14.6
552.812,15.92
553.156,14.84
553.499,14.63
553.843,15.01
554.186,16.17
554.529,16.05
554.873,15.64
555.216,15.93
555.559,15.49
555.902,15.54
556.246,14.69
556.589,14.82
556.932,14.56
557.275,16.35
557.618,15.12
557.961,13.99
558.304,15.79
558.646,14.93
558.989,16.26
559.332,14.99
559.675,13.98
560.017,14.25
560.36,14.71
560.703,14.13
561.045,13.44
561.388,15.18
561.73,14.62
562.073,13.94
562.415,15.21
562.757,14.23
563.1,15.04
563.442,15.42
563.784,14.16
564.126,15.31
564.468,15.11
564.81,15.45
565.152,14.33
565.494,13.78
565.836,14.87
566.178,14.97
566.52,14.14
566.862,15.5
567.204,14.47
567.545,15.09
567.887,14.19
568.229,13.23
568.57,14.46
568.912,14.68
569.253,14.3
569.595,14.91
569.936,14.95
570.277,13.91
570.619,14.64
570.96,13.16
571.301,14.38
571.642,13.71
571.984,14.23
572.325,15.16
572.666,13.91
573.007,15.09
573.348,14.11
573.689,14.21
574.03,15.21
574.37,14.11
574.711,14.28
575.052,15.15
575.393,14.51
575.733,13.97
576.074,13.83
576.414,13.38
576.755,13.9
577.095,13.94
577.436,14.24
577.776,13.82
578.117,14.74
578.457,14.63
578.797,13.35
579.137,14.01
579.478,13.27
579.818,13.64
580.158,13.51
580.498,13.75
580.838,13.62
581.178,12.26
581.518,13.87
581.858,14.84
582.197,12.77
582.537,12.99
582.877,12.46
583.217,13.1
583.556,13.52
583.896,13.16
584.235,13.4
584.575,13.56
584.914,13.35
585.254,13.26
585.593,13.54
585.933,13.85
586.272,12.98
586.611,12.94
586.95,12.42
587.289,13.3
587.629,13.18
587.968,13.54
588.307,12.93
588.646,12.61
588.985,13
589.323,12.61
589.662,13.42
590.001,13.39
590.34,12.79
590.679,13.09
591.017,12.58
591.356,12.15
591.695,13.11
592.033,12.07
592.372,13.61
592.71,12.27
593.048,12.4
593.387,11.89
593.725,12.6
594.063,12.57
594.402,12.48
594.74,12.54
595.078,13.06
595.416,12.66
595.754,12.98
596.092,12.8
596.43,12.5
596.768,12.43
597.106,12.9
597.444,11.62
597.781,12.37
598.119,12.3
598.457,12.69
598.795,12.13
599.132,11.42
599.47,11.65
599.807,12.69
600.145,12.8
600.482,11.56
600.82,12.07
601.157,12.3
601.494,10.62
601.831,12.49
602.169,11.59
602.506,11.84
602.843,11.69
603.18,12
603.517,12.04
603.854,11.26
604.191,11.2
604.528,12.25
604.865,11.8
605.202,12.54
605.538,11.86
605.875,11.67
606.212,11.64
606.548,12.01
606.885,11.48
607.222,11.53
607.558,11.52
607.895,11.95
608.231,11.07
608.567,10.44
608.904,11.82
609.24,11.33
609.576,12.06
609.912,11.87
610.248,11.75
610.585,12.26
610.921,11.77
611.257,10.89
611.593,12.04
611.929,10.82
612.264,12.01
612.6,11.18
612.936,11.46
613.272,10.8
613.608,11.68
613.943,11.75
614.279,11.3
614.614,11.69
614.95,10.49
615.285,10.95
615.621,11.1
615.956,11.17
616.292,12.13
616.627,11.2
616.962,11.19
617.297,10.8
617.632,11.56
617.968,11.46
618.303,11.23
618.638,9.58
618.973,10.64
619.308,11.03
619.643,10.99
619.977,11.26
620.312,9.98
620.647,11.26
620.982,10.37
621.316,11.11
621.651,11.37
621.986,10.16
622.32,11.08
622.655,11.19
622.989,11.72
623.324,10.83
623.658,11.57
623.992,11.83
624.326,11.81
624.661,11.21
624.995,10.92
625.329,12.72
625.663,10.9
625.997,10.13
626.331,10.32
626.665,11.29
626.999,11.34
627.333,11.71
627.667,11.03
628.001,11.36
628.334,10.98
628.668,12
629.002,11.03
629.335,12.28
629.669,11.22
630.002,11.65
630.336,10.17
630.669,13.04
631.003,11.31
631.336,10.56
631.669,10.88
632.003,10.62
632.336,11.17
632.669,11.17
633.002,9.89
633.335,9.85
633.668,10.73
634.001,11.54
634.334,12.41
634.667,11.25
635,10.47
635.333,11.09
635.665,11.28
635.998,11.55
636.331,11.58
636.663,10.4
636.996,10.38
637.328,12.26
637.661,11.84
637.993,11.54
638.326,10.85
638.658,11.03
638.99,10.32
639.323,10.98
639.655,10.22
639.987,8.92
640.319,9.89
640.651,11.9
640.983,10.35
641.315,10.8
641.647,10.07
641.979,11.48
642.311,10.57
642.643,11.52
642.975,11.35
643.306,10.64
643.638,11.23
643.97,12.12
644.301,9.79
644.633,7.91
644.964,11.54
645.296,11.94
645.627,11.06
645.959,9.94
646.29,10.46
646.621,12.27
646.952,10.5
647.284,12
647.615,10.12
647.946,12.5
648.277,9.08
648.608,12.22
648.939,11.14
649.27,10.9
649.601,9.26
649.931,10.18
650.262,8.97
650.593,10.52
650.924,10.93
651.254,11.09
651.585,10.33
651.915,10.51
652.246,10.98
652.576,10.14
652.907,10.01
653.237,10.94
653.568,10.98
653.898,10.69
654.228,11.37
654.558,11.51
654.888,11.06
655.219,11.57
655.549,10.47
655.879,12.35
656.209,10.27
656.539,11.35
656.868,11.69
657.198,11.18
657.528,11.23
657.858,11.73
658.188,11.68
658.517,11.29
658.847,11.62
659.176,11.39
659.506,11.7
659.835,11.35
660.165,11.63
660.494,11.47
660.824,12.38
661.153,11.32
661.482,11.1
661.811,11.21
662.14,11.03
662.47,10.66
662.799,11.01
663.128,11.14
663.457,11.68
663.786,10.49
664.114,12.17
664.443,11.94
664.772,11.58
665.101,11.48
665.43,10.74
665.758,11.84
666.087,11.89
666.415,10.7
666.744,12.21
667.072,11.5
667.401,12.13
667.729,12.16
668.058,9.57
668.386,13.33
668.714,11.83
669.042,10.49
669.371,9.81
669.699,10.84
670.027,8.88
670.355,11.49
670.683,12.02
671.011,9.1
671.339,9.81
671.666,14.8
