wavelength,reflectance,species,sample.number,specimen.type,measurement.type
338.208,7.04,battus,1,real.wing,
338.577,6.12,battus,1,real.wing,
338.946,7.7,battus,1,real.wing,
339.315,6.31,battus,1,real.wing,
339.684,8.41,battus,1,real.wing,
340.053,9.35,battus,1,real.wing,
340.422,8.34,battus,1,real.wing,
340.79,7.57,battus,1,real.wing,
341.159,8.98,battus,1,real.wing,
341.528,6.48,battus,1,real.wing,
341.897,6.81,battus,1,real.wing,
342.266,6.83,battus,1,real.wing,
342.634,6.55,battus,1,real.wing,
343.003,8.21,battus,1,real.wing,
343.371,7.68,battus,1,real.wing,
343.74,6.61,battus,1,real.wing,
344.108,6.9,battus,1,real.wing,
344.477,8.36,battus,1,real.wing,
344.845,5.85,battus,1,real.wing,
345.214,5.56,battus,1,real.wing,
345.582,5.38,battus,1,real.wing,
345.95,6.52,battus,1,real.wing,
346.319,7.02,battus,1,real.wing,
346.687,7.22,battus,1,real.wing,
347.055,5.26,battus,1,real.wing,
347.423,6.66,battus,1,real.wing,
347.791,6.44,battus,1,real.wing,
348.159,7.59,battus,1,real.wing,
348.527,5.35,battus,1,real.wing,
348.895,6.39,battus,1,real.wing,
349.263,4.75,battus,1,real.wing,
349.631,5.9,battus,1,real.wing,
349.999,6.48,battus,1,real.wing,
350.367,8.43,battus,1,real.wing,
350.734,6.79,battus,1,real.wing,
351.102,7.12,battus,1,real.wing,
351.47,5.98,battus,1,real.wing,
351.837,6.24,battus,1,real.wing,
352.205,5.48,battus,1,real.wing,
352.573,6.38,battus,1,real.wing,
352.94,6.83,battus,1,real.wing,
353.308,6.72,battus,1,real.wing,
353.675,7.06,battus,1,real.wing,
354.042,6.51,battus,1,real.wing,
354.41,7.1,battus,1,real.wing,
354.777,6.5,battus,1,real.wing,
355.144,5.28,battus,1,real.wing,
355.511,6.34,battus,1,real.wing,
355.879,6.83,battus,1,real.wing,
356.246,6.07,battus,1,real.wing,
356.613,6.22,battus,1,real.wing,
356.98,8.03,battus,1,real.wing,
357.347,7.7,battus,1,real.wing,
357.714,4.3,battus,1,real.wing,
358.081,2.39,battus,1,real.wing,
358.448,4.87,battus,1,real.wing,
358.815,4.71,battus,1,real.wing,
359.181,5.38,battus,1,real.wing,
359.548,5.9,battus,1,real.wing,
359.915,6.55,battus,1,real.wing,
360.282,4.71,battus,1,real.wing,
360.648,6.7,battus,1,real.wing,
361.015,6.79,battus,1,real.wing,
361.381,5.32,battus,1,real.wing,
361.748,7.04,battus,1,real.wing,
362.114,8.27,battus,1,real.wing,
362.481,5.63,battus,1,real.wing,
362.847,5.31,battus,1,real.wing,
363.214,4.61,battus,1,real.wing,
363.58,3.79,battus,1,real.wing,
363.946,5.13,battus,1,real.wing,
364.312,5.46,battus,1,real.wing,
364.678,4.88,battus,1,real.wing,
365.045,3.9,battus,1,real.wing,
365.411,4.75,battus,1,real.wing,
365.777,3.83,battus,1,real.wing,
366.143,6.73,battus,1,real.wing,
366.509,5.06,battus,1,real.wing,
366.875,6.46,battus,1,real.wing,
367.241,5.87,battus,1,real.wing,
367.606,5.17,battus,1,real.wing,
367.972,6.63,battus,1,real.wing,
368.338,4.09,battus,1,real.wing,
368.704,5.16,battus,1,real.wing,
369.069,5.04,battus,1,real.wing,
369.435,5.38,battus,1,real.wing,
369.801,5.83,battus,1,real.wing,
370.166,5.36,battus,1,real.wing,
370.532,5.45,battus,1,real.wing,
370.897,4.36,battus,1,real.wing,
371.263,6,battus,1,real.wing,
371.628,4.87,battus,1,real.wing,
371.993,5.51,battus,1,real.wing,
372.359,4.83,battus,1,real.wing,
372.724,4.3,battus,1,real.wing,
373.089,5.26,battus,1,real.wing,
373.454,4.94,battus,1,real.wing,
373.82,4.1,battus,1,real.wing,
374.185,5.44,battus,1,real.wing,
374.55,6.24,battus,1,real.wing,
374.915,4.85,battus,1,real.wing,
375.28,4.7,battus,1,real.wing,
375.645,5.33,battus,1,real.wing,
376.01,4.64,battus,1,real.wing,
376.374,3.63,battus,1,real.wing,
376.739,3.73,battus,1,real.wing,
377.104,4.73,battus,1,real.wing,
377.469,4.85,battus,1,real.wing,
377.833,4.55,battus,1,real.wing,
378.198,4.47,battus,1,real.wing,
378.563,5.18,battus,1,real.wing,
378.927,6.18,battus,1,real.wing,
379.292,5.51,battus,1,real.wing,
379.656,4.15,battus,1,real.wing,
380.021,5.65,battus,1,real.wing,
380.385,5.09,battus,1,real.wing,
380.749,3.6,battus,1,real.wing,
381.114,3.98,battus,1,real.wing,
381.478,4.78,battus,1,real.wing,
381.842,3.86,battus,1,real.wing,
382.206,4.02,battus,1,real.wing,
382.571,4.78,battus,1,real.wing,
382.935,3.59,battus,1,real.wing,
383.299,5.09,battus,1,real.wing,
383.663,5.81,battus,1,real.wing,
384.027,4.04,battus,1,real.wing,
384.391,4.18,battus,1,real.wing,
384.755,4.28,battus,1,real.wing,
