time.delay,experiment.day,site,species,attacks,field.day
zero,3,15,limenitis,0,5
zero,3,16,limenitis,0,6
zero,3,17,limenitis,0,6
zero,3,18,limenitis,0,6
zero,3,19,limenitis,1,6
zero,3,20,limenitis,0,6
zero,3,1,junonia,0,3
zero,3,2,junonia,0,3
zero,3,3,junonia,0,3
zero,3,4,junonia,0,3
zero,3,5,junonia,0,3
zero,3,6,junonia,0,4
zero,3,7,junonia,0,4
zero,3,8,junonia,0,4
zero,3,9,junonia,0,4
zero,3,10,junonia,0,4
zero,3,11,junonia,0,5
zero,3,12,junonia,0,5
zero,3,13,junonia,0,5
zero,3,14,junonia,0,5
zero,3,15,junonia,0,5
zero,3,16,junonia,0,6
zero,3,17,junonia,0,6
zero,3,18,junonia,0,6
zero,3,19,junonia,0,6
zero,3,20,junonia,0,6
zero,4,1,limenitis,0,4
zero,4,2,limenitis,0,4
zero,4,3,limenitis,1,4
zero,4,4,limenitis,0,4
zero,4,5,limenitis,0,4
zero,4,6,limenitis,0,5
zero,4,7,limenitis,0,5
zero,4,8,limenitis,0,5
zero,4,9,limenitis,0,5
zero,4,10,limenitis,0,5
zero,4,11,limenitis,0,6
zero,4,12,limenitis,0,6
zero,4,13,limenitis,0,6
zero,4,14,limenitis,0,6
zero,4,15,limenitis,0,6
zero,4,16,limenitis,0,7
zero,4,17,limenitis,0,7
zero,4,18,limenitis,0,7
zero,4,19,limenitis,0,7
zero,4,20,limenitis,0,7
zero,4,1,junonia,0,4
zero,4,2,junonia,1,4
zero,4,3,junonia,2,4
zero,4,4,junonia,0,4
zero,4,5,junonia,0,4
zero,4,6,junonia,1,5
zero,4,7,junonia,0,5
zero,4,8,junonia,0,5
zero,4,9,junonia,0,5
zero,4,10,junonia,0,5
zero,4,11,junonia,0,6
zero,4,12,junonia,0,6
zero,4,13,junonia,0,6
zero,4,14,junonia,0,6
zero,4,15,junonia,0,6
zero,4,16,junonia,0,7
zero,4,17,junonia,0,7
zero,4,18,junonia,0,7
zero,4,19,junonia,0,7
zero,4,20,junonia,1,7
